character #1, character #2, similarity
1, 0, 0.3585258894959005
0, 1, 0.3585258894959005
2, 0, 0.5278631522464252
0, 2, 0.5278631522464252
3, 0, 0.5810173885883849
0, 3, 0.5810173885883849
4, 0, 0.5375446278382082
0, 4, 0.5375446278382082
5, 0, 0.5664712095265177
0, 5, 0.5664712095265177
6, 0, 0.7068545382607847
0, 6, 0.7068545382607847
7, 0, 0.38691925744308825
0, 7, 0.38691925744308825
8, 0, 0.797165970031334
0, 8, 0.797165970031334
9, 0, 0.7317873090602188
0, 9, 0.7317873090602188
A, 0, 0.6111698816507011
0, A, 0.6111698816507011
a, 0, 0.6116184400292747
0, a, 0.6116184400292747
B, 0, 0.7895221595523462
0, B, 0.7895221595523462
b, 0, 0.6171416656666625
0, b, 0.6171416656666625
C, 0, 0.5196133578525702
0, C, 0.5196133578525702
c, 0, 0.43158295888253445
0, c, 0.43158295888253445
D, 0, 0.6899620921550855
0, D, 0.6899620921550855
d, 0, 0.5669538612324846
0, d, 0.5669538612324846
E, 0, 0.5520860163661238
0, E, 0.5520860163661238
e, 0, 0.6472631812621424
0, e, 0.6472631812621424
F, 0, 0.4530690943803581
0, F, 0.4530690943803581
f, 0, 0.5151017298248317
0, f, 0.5151017298248317
G, 0, 0.7021057181888773
0, G, 0.7021057181888773
g, 0, 0.7244369623283506
0, g, 0.7244369623283506
H, 0, 0.5371551970390999
0, H, 0.5371551970390999
h, 0, 0.5240156424790747
0, h, 0.5240156424790747
I, 0, 0.30516397752557206
0, I, 0.30516397752557206
i, 0, 0.2819931974543294
0, i, 0.2819931974543294
J, 0, 0.43933269383026263
0, J, 0.43933269383026263
j, 0, 0.38332861546107244
0, j, 0.38332861546107244
K, 0, 0.5289863195449355
0, K, 0.5289863195449355
k, 0, 0.5535096005831172
0, k, 0.5535096005831172
L, 0, 0.305598886822961
0, L, 0.305598886822961
l, 0, 0.2824410890628773
0, l, 0.2824410890628773
M, 0, 0.6366535540779654
0, M, 0.6366535540779654
m, 0, 0.5617671959482965
0, m, 0.5617671959482965
N, 0, 0.649177897666971
0, N, 0.649177897666971
n, 0, 0.47712125471966244
0, n, 0.47712125471966244
O, 0, 0.8266487783103477
0, O, 0.8266487783103477
o, 0, 0.6093838492402347
0, o, 0.6093838492402347
P, 0, 0.6219453294475105
0, P, 0.6219453294475105
p, 0, 0.5949981368404755
0, p, 0.5949981368404755
Q, 0, 0.6398168414742644
0, Q, 0.6398168414742644
q, 0, 0.6137334311643557
0, q, 0.6137334311643557
R, 0, 0.6310039828789874
0, R, 0.6310039828789874
