character #1, character #2, similarity
t, K, 0.5413621509743507
K, t, 0.5413621509743507
a, K, 0.5659256625424384
K, a, 0.5659256625424384
J, K, 0.2932046581520246
K, J, 0.2932046581520246
H, K, 0.509010399133144
K, H, 0.509010399133144
x, K, 0.586129389350987
K, x, 0.586129389350987
m, K, 0.43531141989733846
K, m, 0.43531141989733846
I, K, 0.33634924694110907
K, I, 0.33634924694110907
Z, K, 0.5122967342147926
K, Z, 0.5122967342147926
M, K, 0.5584486833017851
K, M, 0.5584486833017851
l, K, 0.2807719675924939
K, l, 0.2807719675924939
y, K, 0.5037734494911027
K, y, 0.5037734494911027
L, K, 0.5080229401656363
K, L, 0.5080229401656363
Y, K, 0.4307010617125123
K, Y, 0.4307010617125123
8, K, 0.5857879046025387
K, 8, 0.5857879046025387
N, K, 0.6671443904202957
K, N, 0.6671443904202957
u, K, 0.48632774328793116
K, u, 0.48632774328793116
O, K, 0.39842498301825086
K, O, 0.39842498301825086
9, K, 0.4843446142818122
K, 9, 0.4843446142818122
X, K, 0.7625279593426882
K, X, 0.7625279593426882
k, K, 0.7951433004890327
K, k, 0.7951433004890327
r, K, 0.37942943325222483
K, r, 0.37942943325222483
g, K, 0.6663989379481143
K, g, 0.6663989379481143
f, K, 0.43766553446279965
K, f, 0.43766553446279965
s, K, 0.5913128462341172
K, s, 0.5913128462341172
j, K, 0.3875837627963091
K, j, 0.3875837627963091
i, K, 0.3533269047601003
K, i, 0.3533269047601003
e, K, 0.5085483187049841
K, e, 0.5085483187049841
p, K, 0.5173794414401627
K, p, 0.5173794414401627
q, K, 0.49592634064958957
K, q, 0.49592634064958957
d, K, 0.4897385181089278
K, d, 0.4897385181089278
h, K, 0.5950935311423672
K, h, 0.5950935311423672
U, K, 0.4210798121803002
K, U, 0.4210798121803002
4, K, 0.5267913346433876
K, 4, 0.5267913346433876
c, K, 0.5070075096464118
K, c, 0.5070075096464118
B, K, 0.6118922774423602
K, B, 0.6118922774423602
v, K, 0.46397613644265495
K, v, 0.46397613644265495
C, K, 0.48264620224111376
K, C, 0.48264620224111376
5, K, 0.45000697313971993
K, 5, 0.45000697313971993
T, K, 0.4431601722456376
K, T, 0.4431601722456376
V, K, 0.4825960240143714
K, V, 0.4825960240143714
7, K, 0.4376612569426513
K, 7, 0.4376612569426513
A, K, 0.5903816098677201
K, A, 0.5903816098677201
o, K, 0.3953625857842269
K, o, 0.3953625857842269
z, K, 0.5019581096782333
K, z, 0.5019581096782333
6, K, 0.5046174283060215
K, 6, 0.5046174283060215
W, K, 0.547433499233924
K, W, 0.547433499233924
D, K, 0.417550314331504
K, D, 0.417550314331504
S, K, 0.4546789814396501
K, S, 0.4546789814396501
2, K, 0.4810874419372638
K, 2, 0.4810874419372638
n, K, 0.46167276341608404
K, n, 0.46167276341608404
3, K, 0.44618500371658687
K, 3, 0.44618500371658687
R, K, 0.7528313300538418
K, R, 0.7528313300538418
E, K, 0.5806308433084789
K, E, 0.5806308433084789
G, K, 0.453902538490024
K, G, 0.453902538490024
P, K, 0.5664900533065148
K, P, 0.5664900533065148
1, K, 0.3699897413057539
K, 1, 0.3699897413057539
w, K, 0.44402147871950404
K, w, 0.44402147871950404
0, K, 0.5289863195449355
K, 0, 0.5289863195449355
Q, K, 0.45053873452676285
K, Q, 0.45053873452676285
F, K, 0.4464903994168829
K, F, 0.4464903994168829
b, K, 0.5202962134964658
K, b, 0.5202962134964658
a, t, 0.4727375673589083
t, a, 0.4727375673589083
J, t, 0.2968831934903083
t, J, 0.2968831934903083
H, t, 0.30657776515842766
t, H, 0.30657776515842766
x, t, 0.47642693885330795
t, x, 0.47642693885330795
m, t, 0.4298197099509171
t, m, 0.4298197099509171
I, t, 0.4430086894421601
t, I, 0.4430086894421601
Z, t, 0.46254417929496144
t, Z, 0.46254417929496144
M, t, 0.4521111584378005
t, M, 0.4521111584378005
l, t, 0.5082687112933307
t, l, 0.5082687112933307
y, t, 0.3802959903667492
t, y, 0.3802959903667492
L, t, 0.6219696527600076
t, L, 0.6219696527600076
Y, t, 0.4190410454752552
t, Y, 0.4190410454752552
8, t, 0.49562782958233875
t, 8, 0.49562782958233875
N, t, 0.4294570601181025
t, N, 0.4294570601181025
u, t, 0.4100310389048186
t, u, 0.4100310389048186
O, t, 0.40262949675204057
t, O, 0.40262949675204057
9, t, 0.44190981682418595
t, 9, 0.44190981682418595
X, t, 0.4492797673723313
t, X, 0.4492797673723313
k, t, 0.5579619565315553
t, k, 0.5579619565315553
r, t, 0.4056641238360466
t, r, 0.4056641238360466
g, t, 0.48831281209465766
t, g, 0.48831281209465766
f, t, 0.5335860853213009
t, f, 0.5335860853213009
s, t, 0.5380926664095034
t, s, 0.5380926664095034
j, t, 0.4146585657763871
t, j, 0.4146585657763871
i, t, 0.5429385392093058
t, i, 0.5429385392093058
e, t, 0.48314600571492927
t, e, 0.48314600571492927
p, t, 0.5222552067928903
t, p, 0.5222552067928903
q, t, 0.40204684288668086
t, q, 0.40204684288668086
d, t, 0.4626748424060748
t, d, 0.4626748424060748
h, t, 0.4687886704473583
t, h, 0.4687886704473583
U, t, 0.38884450383750796
t, U, 0.38884450383750796
4, t, 0.4179739139847481
t, 4, 0.4179739139847481
c, t, 0.5971064176228651
t, c, 0.5971064176228651
B, t, 0.48337020399666397
t, B, 0.48337020399666397
v, t, 0.415931109969593
t, v, 0.415931109969593
C, t, 0.48267824811938376
t, C, 0.48267824811938376
5, t, 0.37029922121362563
t, 5, 0.37029922121362563
T, t, 0.544188031775242
t, T, 0.544188031775242
V, t, 0.48262259546893926
t, V, 0.48262259546893926
7, t, 0.3902982663781623
t, 7, 0.3902982663781623
A, t, 0.4225757893749418
t, A, 0.4225757893749418
o, t, 0.4822246563577921
t, o, 0.4822246563577921
z, t, 0.5236882412871231
t, z, 0.5236882412871231
6, t, 0.5347951537286103
t, 6, 0.5347951537286103
W, t, 0.4601936474924702
t, W, 0.4601936474924702
D, t, 0.38259010249445613
t, D, 0.38259010249445613
S, t, 0.42546108232330054
t, S, 0.42546108232330054
2, t, 0.46084602073132036
t, 2, 0.46084602073132036
n, t, 0.41654525318909796
t, n, 0.41654525318909796
3, t, 0.3783992560032373
t, 3, 0.3783992560032373
R, t, 0.4599677620152455
t, R, 0.4599677620152455
E, t, 0.5873952292857003
t, E, 0.5873952292857003
G, t, 0.4559319556497244
t, G, 0.4559319556497244
P, t, 0.47865161692406644
t, P, 0.47865161692406644
1, t, 0.5333722768126128
t, 1, 0.5333722768126128
w, t, 0.35574859254456304
t, w, 0.35574859254456304
0, t, 0.49266213553191845
t, 0, 0.49266213553191845
Q, t, 0.40996954599682234
t, Q, 0.40996954599682234
F, t, 0.38755797287831584
t, F, 0.38755797287831584
b, t, 0.599996830764189
t, b, 0.599996830764189
J, a, 0.37255827748308057
a, J, 0.37255827748308057
H, a, 0.4083264006752363
a, H, 0.4083264006752363
x, a, 0.5948500440373913
a, x, 0.5948500440373913
m, a, 0.48757814610414585
a, m, 0.48757814610414585
I, a, 0.27405666622080305
a, I, 0.27405666622080305
Z, a, 0.4788503657572084
a, Z, 0.4788503657572084
M, a, 0.47561763700798476
